UCAH0000	L003005NumOfReports	3	4				N									TC_003_005_NUMBER_OF_REPORTS_TO_ENABLE
UCAH0001	L003005RepSid	3	12				N									TC_003_005_SID_OF_THE_REPORT_TO_ENABLE
UCAH0002	L003006NumOfReports	3	4				N									TC_003_006_NUMBER_OF_REPORTS_TO_DISABLE
UCAH0003	L003006RepSid	3	12				N									TC_003_006_SID_OF_THE_REPORT_TO_DISABLE
UCAH0004	L003001RepSid	3	12				N									TC_003_001_SID_OF_THE_HK_REPORT_STRUCTURE_TO_CREATE
UCAH0005	L003001RepPeriod	3	14				N									TC_003_001_REPORTING_PERIOD_OF_THE_HK_REPORT_STRUCTURE_(NUMBER_OF_100MS_CYCLES)
UCAH0006	L003001NumOfRepParams	3	4				N									TC_003_001_NUMBER_OF_HK_PARAMETERS_INCLUDED_IN_THE_REPORT_STRUCTURE
UCAH0007	L003001ParamId	3	14				N									TC_003_001_PID_OF_THE_HK_PARAMETER_IN_THE_REPORT_STRUCTURE
UCAH0008	L003003NumOfRepParams	3	4				N									TC_003_003_NUMBER_OF_REPORTS_TO_DELETE
UCAH0009	L003003ParamId	3	12				N									TC_003_003_SID_OF_THE_REPORT_TO_DELETE
UCAH0010	L003009NumOfReports	3	4				N									TC_003_009_NUMBER_OF_HK_REPORT_IDS_INCLUDED_IN_THE_TC
UCAH0011	L003009RepSid	3	12				N									TC_003_009_FIRST_HK_REPORT_SID_TO_GENERATE_REPORT_OF
UCAH0012	L003031NumOfReports	3	4				N									TC_003_031_NUMBER_OF_REPORTS_INCLUDED_IN_THIS_TC
UCAH0013	L003031RepSid	3	12				N									TC_003_031_REPORT_SID_OF_THE_HK_REPORT_TO_MODIFY
UCAH0014	L003031RepPeriod	3	14				N									TC_003_031_REPORTING_PERIOD_FOR_THE_REPORT_TO_MODIFY
UCAH0015	L003033NumOfReports	3	4				N									TC_003_033_NUMBER_OF_REPORTS_INCLUDED_IN_THIS_TC
UCAH0016	L003033RepSid	3	12				N									TC_003_033_FIRST_HK_REPORT_SID_OF_THE_REPORT_THAT'S_PERIOD_IS_REQUESTED_TO_BE_INCLUDED_IN_THE_REPORT
UCAH0017	L003027NumOfReports	3	4				N									TC_003_027_NUMBER_OF_HK_REPORTS_INCLUDED_IN_THE_TC
UCAH0018	L003027RepSid	3	12				N									TC_003_027_FIRST_HK_REPORT_SID_IN_THE_LIST_TO_BE_GENERATED
UCAH0019	L005005NumOfEvReps	3	4				N									TC_005_005_NUMBER_OF_EVENT_DEFINITIONS_IN_THIS_TC
UCAH0020	L005005EventRepId	3	12				N									TC_005_005_EVENT_RID_OF_THE_EVENT_DEFINITION_TO_ENABLE
UCAH0021	L005006NumOfEvReps	3	4				N									TC_005_006_NUMBER_OF_EVENT_DEFINITIONS_IN_THIS_TC
UCAH0022	L005006EventRepId	3	12				N									TC_005_006_EVENT_RID_OF_THE_EVENT_DEFINITION_TO_DISABLE
UCAH0023	L006002MemoryId	2	8				T			UCAFTA0023						TC_006_002_MEMORY_ID_WHERE_THE_RAW_DATA_SHALL_BE_LOADED
UCAH0024	L006002NumOfInstr	3	4				N									TC_006_002_NUMBER_OF_INSTRUCTIONS_IN_THIS_TC
UCAH0025	L006002MemAddr	3	14				N									TC_006_002_THE_INSTRUCTION'S_START_ADDRESS_WHERE_THE_RAW_DATA_SHALL_BE_LOADED
UCAH0026	L006002NumOfBytes	3	12				N									TC_006_002_THE_INSTRUCTION'S_DATA_LENGTH:_THE_NUMBER_OF_BYTES_THAT_SHALL_BE_WRITTEN
UCAH0027	L006002RawData8	3	4				N									TC_006_002_THE_ITH_RAW_DATA_BYTE_OF_THE_JTH_INSTRUCTION_THAT_SHALL_BE_WRITTEN
UCAH0028	L006011MemoryId	2	8				T			UCAFTA0023						TC_006_011_MEMORY_ID_WHERE_THE_RAW_DATA_SHALL_BE_LOADED
UCAH0029	L006011MemAddr	3	14				N									TC_006_011_THE_ADDRESS_WHERE_THE_MASKED_DATA_SHALL_BE_LOAD
UCAH0030	L006011Mask32	3	14				N									TC_006_011_THE_BITMASK_TO_APPLY_DURING_THE_LOAD_OPERATION_(LENGTH_IS_EQUAL_TO_THE_WORD_LENGTH_OF_THE_MEMORY_REGION_SPECIFIED_BY_MEM_ID)
