KTC40022	C	0
KTC40022	C	1
KTC40001	C	0
KTC40001	C	1
KTC40002	C	0
KTC40002	C	1
KTC40003	C	0
KTC40003	C	1
KTC40004	C	0
KTC40004	C	1
KTC40005	C	0
KTC40005	C	1
KTC40006	C	0
KTC40006	C	1
KTC40007	C	0
KTC40007	C	1
KTC40008	C	0
KTC40008	C	1
KTC40009	C	0
KTC40009	C	1
KTC40010	C	0
KTC40010	C	1
KTC40011	C	0
KTC40011	C	1
KTC40012	C	0
KTC40012	C	1
KTC40013	C	0
KTC40013	C	1
KTC40014	C	0
KTC40014	C	1
KTC40015	C	0
KTC40015	C	1
KTC40016	C	0
KTC40016	C	1
KTC40017	C	0
KTC40017	C	1
KTC40018	C	0
KTC40018	C	1
KTC40019	C	0
KTC40019	C	1
KTC40020	C	0
KTC40020	C	1
KTC40021	C	0
KTC40021	C	1
KSC50052	C	0
KSC50052	C	1
KSC50052	C	2
KSC50053	C	0
KSC50053	C	1
KSC50053	C	2
KSC50054	C	0
KSC50054	C	1
KSC50054	C	2
KSC50055	C	0
KSC50055	C	1
KSC50055	C	2
KSC50056	C	0
KSC50056	C	1
KSC50056	C	2
KSC50061	C	0
KSC50061	C	1
KSC50061	C	2
KSC50137	C	0
KSC50137	C	1
KSC50137	C	2
KSC50138	C	0
KSC50138	C	1
KSC50138	C	2
KSC50139	C	0
KSC50139	C	1
KSC50139	C	2
KSC50140	C	0
KSC50140	C	1
KSC50140	C	2
KSC50241	C	0
KSC50241	C	1
KSC50241	C	2
KSC50142	C	0
KSC50142	C	1
KSC50142	C	2
KSC50147	C	0
KSC50147	C	1
KSC50147	C	2
KSC50148	C	0
KSC50148	C	1
KSC50148	C	2
KSC50149	C	0
KSC50149	C	1
KSC50149	C	2
KSC50150	C	0
KSC50150	C	1
KSC50150	C	2
KSC50152	C	0
KSC50152	C	1
KSC50152	C	2
KSC50153	C	0
KSC50153	C	1
KSC50153	C	2
KSC50155	C	0
KSC50155	C	1
KSC50155	C	2
KSC50159	C	0
KSC50159	C	1
KSC50159	C	2
KSC50160	C	0
KSC50160	C	1
KSC50160	C	2
KSC50161	C	0
KSC50161	C	1
KSC50161	C	2
KSC50162	C	0
KSC50162	C	1
KSC50162	C	2
KSC50163	C	0
KSC50163	C	1
KSC50163	C	2
KSC50164	C	0
KSC50164	C	1
KSC50164	C	2
KSC50165	C	0
KSC50165	C	1
KSC50165	C	2
KSC50166	C	0
KSC50166	C	1
KSC50166	C	2
KSC50167	C	0
KSC50167	C	1
KSC50167	C	2
KSC50168	C	0
KSC50168	C	1
KSC50168	C	2
KSC50169	C	0
KSC50169	C	1
KSC50169	C	2
KSC50170	C	0
KSC50170	C	1
KSC50170	C	2
KSC50171	C	0
KSC50171	C	1
KSC50171	C	2
KSC50172	C	0
KSC50172	C	1
KSC50172	C	2
KSC50173	C	0
KSC50173	C	1
KSC50173	C	2
KSC50174	C	0
KSC50174	C	1
KSC50174	C	2
KSC50175	C	0
KSC50175	C	1
KSC50175	C	2
KSC50176	C	0
KSC50176	C	1
KSC50176	C	2
KSC50177	C	0
KSC50177	C	1
KSC50177	C	2
KSC50222	C	0
KSC50222	C	1
KSC50222	C	2
KSC50180	C	0
KSC50180	C	1
KSC50180	C	2
KSC50181	C	0
KSC50181	C	1
KSC50181	C	2
KSC50182	C	0
KSC50182	C	1
KSC50182	C	2
KSC50184	C	0
KSC50184	C	1
KSC50184	C	2
KSC50212	C	0
KSC50212	C	1
KSC50212	C	2
KSC50213	C	0
KSC50213	C	1
KSC50213	C	2
KSC50214	C	0
KSC50214	C	1
KSC50214	C	2
KSC50215	C	0
KSC50215	C	1
KSC50215	C	2
KSC50216	C	0
KSC50216	C	1
KSC50216	C	2
KSC50217	C	0
KSC50217	C	1
KSC50217	C	2
KSC50218	C	0
KSC50218	C	1
KSC50218	C	2
KSC50219	C	0
KSC50219	C	1
KSC50219	C	2
KSC50220	C	0
KSC50220	C	1
KSC50220	C	2
KSC50221	C	0
KSC50221	C	1
KSC50221	C	2
KSC50187	C	0
KSC50187	C	1
KSC50187	C	2
KSC50188	C	0
KSC50188	C	1
KSC50188	C	2
KSC50189	C	0
KSC50189	C	1
KSC50189	C	2
KSC50190	C	0
KSC50190	C	1
KSC50190	C	2
KSC50191	C	0
KSC50191	C	1
KSC50191	C	2
KSC50192	C	0
KSC50192	C	1
KSC50192	C	2
KSC50193	C	0
KSC50193	C	1
KSC50193	C	2
KSC50194	C	0
KSC50194	C	1
KSC50194	C	2
KSC50195	C	0
KSC50195	C	1
KSC50195	C	2
KSC50196	C	0
KSC50196	C	1
KSC50196	C	2
KSC50197	C	0
KSC50197	C	1
KSC50197	C	2
KSC50198	C	0
KSC50198	C	1
KSC50198	C	2
KSC50199	C	0
KSC50199	C	1
KSC50199	C	2
KSC50200	C	0
KSC50200	C	1
KSC50200	C	2
KSC50201	C	0
KSC50201	C	1
KSC50201	C	2
KSC50202	C	0
KSC50202	C	1
KSC50202	C	2
KSC50203	C	0
KSC50203	C	1
KSC50203	C	2
KSC50204	C	0
KSC50204	C	1
KSC50204	C	2
KSC50205	C	0
KSC50205	C	1
KSC50205	C	2
