KTT04001	TC_PAC_ID			3	12	16			N	R		F	N						Y			B
KTT04002	TC_SEQ_CTRL			3	12	16			N	R		F	N						Y			B
KTT04003	TC_FAIL_CODE			2	16	16			S	R	KSKT5172	F	N						Y			B
KTT04004	TC_SERV_ID			2	8	8			S	R	KTKT4001	F	N						Y			B
KTT04005	TC_SUBTYPE			2	8	8			S	R	KTKT4002	F	N						Y			B
KTT04006	TC_PAC_LEN			3	12	16			N	R		F	N						Y			B
KTT04007	TC_REC_BYTES			3	12	16			N	R		F	N						Y			B
KTT04008	TC_REC_CRC			3	12	16			N	R		F	N						Y			B
KTT04009	TC_CALC_CRC			3	12	16			N	R		F	N						Y			B
KTT04020	TC_FAIL_CODE			2	16	16			S	R	KSKT5177	F	N						Y			B
KTT04030	HK_REP_ID			2	16	16			S	R	KSKT5088	F	N						Y			B
KTT04031	HK_DPU_RESET_TYPE			2	3	3			S	R	KTKT4003	F	N						Y			B
KTT04032	HK_DPU_WDOG_ENA			1	0	1			N	R		F	N						Y			B
KTT04033	HK_LOADREG_ARMED			1	0	1			N	R		F	N						Y			B
KTT04034	HK_LOADPAR_ARMED			1	0	1			N	R		F	N						Y			B
KTT04035	HK_DPU_CMDEXE			1	0	1			N	R		F	N						Y			B
KTT04036	HK_ADC_RANGES			1	0	1			N	R		F	N						Y			B
KTT04037	HK_RSE_PARAM			1	0	1			N	R		F	N						Y			B
KTT04038	HK_EDAC_AT_BOOT			1	0	1			N	R		F	N						Y			B
KTT04039	HK_DOOR_NOT_CLOSED			1	0	1			N	R		F	N						Y			B
KTT04040	HK_DOOR_CLOSE_TO			1	0	1			N	R		F	N						Y			B
KTT04041	HK_DPU_SENDBUF_FULL			1	0	1			N	R		F	N						Y			B
KTT04042	HK_DPU_CMDBUFF_FULL			1	0	1			N	R		F	N						Y			B
KTT04251	HK_DPU_UNIT			3	4	8			N	R		F	N						Y			B
KTT04910	HK_NX_STATUS			3	12	16			N	R		F	N						Y			B
KTT04043	HK_RSE_SW_VERSION			3	4	8			N	R		F	N						Y			B
KTT04044	HK_RSE_MOTOR_TEMP		degC	3	4	8			N	R	KSKP0006	F	N						Y			B
KTT04045	HK_RSE_ELEC_TEMP		degC	3	4	8			N	R	KSKP0005	F	N						Y			B
KTT04046	HK_RSE_SHUT_STS_SPARE			1	0	1			N	R		F	N						Y			B
KTT04047	HK_RSE_ELEC_TOO_HOT			1	0	1			N	R		F	N						Y			B
KTT04048	HK_RSE_MOTOR_TOO_HOT			1	0	1			N	R		F	N						Y			B
KTT04049	HK_RSE_EMERGENCY			1	0	1			N	R		F	N						Y			B
KTT04050	HK_RSE_OPENING			1	0	1			N	R		F	N						Y			B
KTT04051	HK_RSE_CLOSING			1	0	1			N	R		F	N						Y			B
KTT04052	HK_RSE_DOOR_OPEN			1	0	1			N	R		F	N						Y			B
KTT04053	HK_RSE_DOOR_CLOSED			1	0	1			N	R		F	N						Y			B
KTT04054	HK_RSE_STEPS_DONE_L			3	4	8			N	R		F	N						Y			B
KTT04055	HK_RSE_STEPS_DONE_H			3	4	8			N	R		F	N						Y			B
KTT04056	HK_RSE_PROC_STS			3	4	8			N	R		F	N						Y			B
KTT04057	HK_RSE_MOTOR_CUR			3	4	8			N	R		F	N						Y			B
KTT04058	HK_RSE_TIME_CTRL			3	4	8			N	R		F	N						Y			B
KTT04059	HK_RSE_DUTY_CTRL			3	4	8			N	R		F	N						Y			B
KTT04060	HK_RSE_MAX_MOTOR_TEMP			3	4	8			N	R		F	N						Y			B
KTT04061	HK_MAX_RSE_ELEC_TEMP			3	4	8			N	R		F	N						Y			B
KTT04062	HK_RSE_MAX_STEPS_L			3	4	8			N	R		F	N						Y			B
KTT04063	HK_RSE_MAX_STEPS_H			3	4	8			N	R		F	N						Y			B
KTT04064	HK_RSE_CONFIG			3	4	8			N	R		F	N						Y			B
KTT04065	HK_RSE_MAX_CUR			3	4	8			N	R		F	N						Y			B
KTT04066	HK_RSE_MAX_STEPS_EMERGENCY_L			3	4	8			N	R		F	N						Y			B
KTT04067	HK_RSE_MAX_STEPS_EMERGENCY_H			3	4	8			N	R		F	N						Y			B
KTT04068	HK_PSU_STS_SPARE1			1	0	1			N	R		F	N						Y			B
KTT04069	HK_PSU_FEE_ANA_OK			1	0	1			N	R		F	N						Y			B
KTT04070	HK_PSU_FEE_DIG_OK			1	0	1			N	R		F	N						Y			B
KTT04071	HK_PSU_FEE_ON			1	0	1			N	R		F	N						Y			B
KTT04072	HK_PSU_PINPULLER_OK			1	0	1			N	R		F	N						Y			B
KTT04073	HK_PSU_PINPULLER_ON			1	0	1			N	R		F	N						Y			B
KTT04074	HK_PSU_RSE_OK			1	0	1			N	R		F	N						Y			B
KTT04075	HK_PSU_PSU_OK			1	0	1			N	R		F	N						Y			B
KTT04076	HK_PSU_HEAT_STS			3	12	16			N	R		F	N						Y			B
KTT04077	HK_TC_CNT_REJ			3	12	16			N	R		F	N						Y			B
KTT04078	HK_TC_CNT_ERR			3	12	16			N	R		F	N						Y			B
KTT04079	HK_TC_CNT_EXE			3	12	16			N	R		F	N						Y			B
KTT04080	HK_TC_LAST_REJ_ERR_PID			3	12	16			N	R		F	N						Y			B
KTT04081	HK_TC_LAST_REJ_ERR_SEQ			3	12	16			N	R		F	N						Y			B
KTT04082	HK_TC_LAST_REJ_ERR_TIMESTAMP			9	18	56			N	R		F	N						Y			B
KTT04083	HK_TC_LAST_REJ_ERR_SYNC			2	8	8			S	R	KTKT4004	F	N						Y			B
KTT04084	HK_TC_LAST_EXE_PID			3	12	16			N	R		F	N						Y			B
KTT04085	HK_TC_LAST_EXE_SEQ			3	12	16			N	R		F	N						Y			B
KTT04086	HK_TC_LAST_EXE_TIMESTAMP			9	18	56			N	R		F	N						Y			B
KTT04087	HK_TC_LAST_EXE_SYNC			2	8	8			S	R	KTKT4004	F	N						Y			B
KTT04088	HK_SC_REC_CNT			3	12	16			N	R		F	N						Y			B
KTT04089	HK_SC_SENT_CNT			3	12	16			N	R		F	N						Y			B
KTT04090	HK_ERR_CNT_LE			3	12	16			N	R		F	N						Y			B
KTT04091	HK_ERR_CNT_ME			3	12	16			N	R		F	N						Y			B
KTT04092	HK_ERR_CNT_HE			3	12	16			N	R		F	N						Y			B
KTT04093	HK_ERR_LAST_EVENTID			2	16	16			S	R	KSKT5036	F	N						Y			B
KTT04094	HK_ERR_LAST_TIMESTAMP			9	18	56			N	R		F	N						Y			B
KTT04095	HK_ERR_LAST_SYNC			2	8	8			S	R	KTKT4004	F	N						Y			B
KTT04096	HK_EDAC_LAST_FAIL_ADDR			3	14	32			N	R		F	N						Y			B
KTT04097	HK_EDAC_LAST_ERR_TIMESTAMP			9	18	56			N	R		F	N						Y			B
