KSKP0014	0	-1.067
KSKP0014	16382	3.505
KSKP0015	0	-0.541
KSKP0015	16382	1.777
KSKP0016	0	-0.270
KSKP0016	16382	0.888
KSKP0017	0	-1.140
KSKP0017	16382	2.158
KSKP0018	0	-1.494
KSKP0018	16382	4.906
KSKP0007	0	-1.770
KSKP0007	16382	5.813
KSKP0008	0	-1.770
KSKP0008	16382	5.813
KSKP0009	0	-1.770
KSKP0009	16382	5.813
KSKP0010	0	-1.770
KSKP0010	16382	5.813
KSKP0011	0	-1.770
KSKP0011	16382	5.813
KSKP0012	0	-3.539
KSKP0012	16382	11.625
KSKP0001	4295	103.6
KSKP0001	4445	93.2
KSKP0001	4595	85.1
KSKP0001	4745	78.6
KSKP0001	4895	73.0
KSKP0001	5045	68.1
KSKP0001	5195	63.9
KSKP0001	5345	60.1
KSKP0001	5495	56.6
KSKP0001	5645	53.3
KSKP0001	5796	50.3
KSKP0001	5946	47.4
KSKP0001	6096	44.8
KSKP0001	6246	42.3
KSKP0001	6396	39.9
KSKP0001	6546	37.5
KSKP0001	6696	35.3
KSKP0001	6846	33.1
KSKP0001	6996	31.0
KSKP0001	7146	29.0
KSKP0001	7297	26.9
KSKP0001	7447	25.0
KSKP0001	7597	23.0
KSKP0001	7747	21.1
KSKP0001	7897	19.2
KSKP0001	8047	17.3
KSKP0001	8197	15.4
KSKP0001	8347	13.6
KSKP0001	8497	11.7
KSKP0001	8647	9.8
KSKP0001	8798	7.8
KSKP0001	8948	5.7
KSKP0001	9098	3.6
KSKP0001	9248	1.3
KSKP0001	9398	-1.2
KSKP0001	9548	-3.8
KSKP0001	9698	-6.5
KSKP0001	9848	-9.3
KSKP0001	9998	-12.3
KSKP0001	10148	-15.3
KSKP0001	10299	-18.3
KSKP0001	10449	-21.4
KSKP0001	10599	-25.3
KSKP0001	10749	-31.3
KSKP0001	10899	-40.9
KSKP0001	11049	-55.7
KSKP0001	11199	-77.0
KSKP0001	11349	-106.3
KSKP0001	11499	-145.1
KSKP0001	11650	-195.2
KSKP0013	0	-1.770
KSKP0013	16382	5.813
KSKP0004	7616	-81.6
KSKP0004	7713	-77.1
KSKP0004	7811	-72.5
KSKP0004	7909	-67.9
KSKP0004	8007	-63.3
KSKP0004	8105	-58.7
KSKP0004	8203	-54.1
KSKP0004	8300	-49.5
KSKP0004	8398	-44.9
KSKP0004	8496	-40.3
KSKP0004	8594	-35.7
