KTP40001	HK_REP_SID	3	12	U	D		N	KTP40001_L			R		Y	0
KTP40002	HK_REP_PER	3	12	U	D		N	KTP40002_L			R		Y	0
KTP40010	EVENT_REP_CNT	3	12	U	D		N	KTP40010_L			R		Y	0
KTP40011	EVENT_ID	2	16	A	D		T	KTP40011_L		KTKT7011	E		Y	0
KTP40030	WR_MEM_MID	2	16	A	D		T	KTP40030_L		KTKT7030	E		Y	0
KTP40031	WR_START_ADDR	3	14	U	H		N	KTP40031_L			R		Y	0
KTP40032	WR_BLOCK_LEN	3	14	U	D		N	KTP40032_L			R		Y	0
KTP40033	WR_BLOC_DATA	3	4	U	H		N	KTP40033_L			R		Y	0
KTP40050	RD_MEM_MID	2	16	A	D		T	KTP40050_L		KTKT7050	E		Y	0
KTP40051	RD_START_ADDR	3	14	U	H		N	KTP40051_L			R		Y	0
KTP40052	RD_BLOCK_LEN	3	14	U	D		N	KTP40052_L			R		Y	0
KTP40060	CH_MEM_MID	2	16	A	D		T	KTP40060_L		KTKT7050	E		Y	0
KTP40061	CH_START_ADDR	3	14	U	H		N	KTP40061_L			R		Y	0
KTP40062	CH_BLOCK_LEN	3	14	U	D		N	KTP40062_L			R		Y	0
KTP40070	CLR_MEM_MID	2	16	A	D		T	KTP40070_L		KTKT7030	E		Y	0
KTP40071	CLR_START_ADDR	3	14	U	H		N	KTP40071_L			R		Y	0
KTP40072	CLR_BLOCK_LEN	3	14	U	D		N	KTP40072_L			R		Y	0
KTP40080	DPU_NEW_TIMESTAMP	9	18	T	D		N				R		Y	0
KTP40100	PARAM_SID	2	16	A	D		T	KTP40100_L		KTKT7100	E		Y	0
KTP40110	P3V9_WARN_LOWER_RANGE	3	12	U	D		N	KTP40110_L			R		Y	0
KTP40111	P3V9_FAIL_LOWER_RANGE	3	12	U	D		N	KTP40111_L			R		Y	0
KTP40112	P3V9_WARN_UPPER_RANGE	3	12	U	D		N	KTP40112_L			R		Y	0
KTP40113	P3V9_FAIL_UPPER_RANGE	3	12	U	D		N	KTP40113_L			R		Y	0
KTP40114	P3V3_WARN_LOWER_RANGE	3	12	U	D		N	KTP40114_L			R		Y	0
KTP40115	P3V3_FAIL_LOWER_RANGE	3	12	U	D		N	KTP40115_L			R		Y	0
KTP40116	P3V3_WARN_UPPER_RANGE	3	12	U	D		N	KTP40116_L			R		Y	0
KTP40117	P3V3_FAIL_UPPER_RANGE	3	12	U	D		N	KTP40117_L			R		Y	0
KTP40118	P3V3_LVDS_WARN_LOWER_RANGE	3	12	U	D		N	KTP40118_L			R		Y	0
KTP40119	P3V3_LVDS_FAIL_LOWER_RANGE	3	12	U	D		N	KTP40119_L			R		Y	0
KTP40120	P3V3_LVDS_WARN_UPPER_RANGE	3	12	U	D		N	KTP40120_L			R		Y	0
KTP40121	P3V3_LVDS_FAIL_UPPER_RANGE	3	12	U	D		N	KTP40121_L			R		Y	0
KTP40122	P2V5_WARN_LOWER_RANGE	3	12	U	D		N	KTP40122_L			R		Y	0
KTP40123	P2V5_FAIL_LOWER_RANGE	3	12	U	D		N	KTP40123_L			R		Y	0
KTP40124	P2V5_WARN_UPPER_RANGE	3	12	U	D		N	KTP40124_L			R		Y	0
KTP40125	P2V5_FAIL_UPPER_RANGE	3	12	U	D		N	KTP40125_L			R		Y	0
