KTC40022	E		16	0	0	KTP40001	R	100	
KTC40022	A	TC_HK_SPARE	16	16	0		R	0	
KTC40001	E		16	0	0	KTP40001	R	100	
KTC40001	E		16	16	0	KTP40002	R	32	
KTC40002	A	TC_SPARE_16BIT	16	0	0		R	0	
KTC40002	E		16	16	2	KTP40010	R	1	
KTC40002	E		16	32	0	KTP40011	E	EVT_MEM_COR_RAM	
KTC40002	A	EVENT_ID_SPARE	16	48	0		R	0	
KTC40003	A	TC_SPARE_16BIT	16	0	0		R	0	
KTC40003	E		16	16	2	KTP40010	R	1	
KTC40003	E		16	32	0	KTP40011	E	EVT_MEM_COR_RAM	
KTC40003	A	EVENT_ID_SPARE	16	48	0		R	0	
KTC40004	E		16	0	0	KTP40030	E	DPU_RAM	
KTC40004	E		32	16	0	KTP40031	R	60000000	
KTC40004	E		32	48	1	KTP40032	R	4	
KTC40004	E		8	80	0	KTP40033	R	0	
KTC40004	A	TC_SPARE_16BIT	16	88	0		R	0	
KTC40005	E		16	0	0	KTP40050	E	DPU_RAM	
KTC40005	E		32	16	0	KTP40051	R	60000000	
KTC40005	E		32	48	0	KTP40052	R	4	
KTC40005	A	TC_SPARE_16BIT	16	80	0		R	0	
KTC40006	E		16	0	0	KTP40060	E	DPU_RAM	
KTC40006	E		32	16	0	KTP40061	R	60000000	
KTC40006	E		32	48	0	KTP40062	R	4	
KTC40006	A	TC_SPARE_16BIT	16	80	0		R	0	
KTC40007	F		16	0	0	KTP40070	E	DPU_RAM	
KTC40007	E		32	16	0	KTP40071	R	60040000	
KTC40007	E		32	48	0	KTP40072	R	33554432	
KTC40007	A	TC_SPARE_16BIT	16	80	0		R	0	
KTC40008	E		56	0	0	KTP40080	R	0	
KTC40008	A	SPARE_SYNC	8	56	0		R	0	
KTC40010	E		16	0	0	KTP40100	E	ADC_RANGES	
KTC40010	A	TC_SPARE_16BIT	16	16	0		R	0	
KTC40011	F		16	0	0	KTP40100	E	ADC_RANGES	
KTC40011	E		16	16	0	KTP40110	R	0	
KTC40011	E		16	32	0	KTP40111	R	0	
KTC40011	E		16	48	0	KTP40112	R	16382	
KTC40011	E		16	64	0	KTP40113	R	16382	
KTC40011	E		16	80	0	KTP40114	R	0	
KTC40011	E		16	96	0	KTP40115	R	0	
KTC40011	E		16	112	0	KTP40116	R	16382	
KTC40011	E		16	128	0	KTP40117	R	16382	
KTC40011	E		16	144	0	KTP40118	R	0	
KTC40011	E		16	160	0	KTP40119	R	0	
KTC40011	E		16	176	0	KTP40120	R	16382	
KTC40011	E		16	192	0	KTP40121	R	16382	
KTC40011	E		16	208	0	KTP40122	R	0	
KTC40011	E		16	224	0	KTP40123	R	0	
KTC40011	E		16	240	0	KTP40124	R	16382	
KTC40011	E		16	256	0	KTP40125	R	16382	
KTC40011	E		16	272	0	KTP40126	R	0	
KTC40011	E		16	288	0	KTP40127	R	0	
KTC40011	E		16	304	0	KTP40128	R	16382	
KTC40011	E		16	320	0	KTP40129	R	16382	
KTC40011	E		16	336	0	KTP40130	R	0	
KTC40011	E		16	352	0	KTP40131	R	0	
KTC40011	E		16	368	0	KTP40132	R	16382	
KTC40011	E		16	384	0	KTP40133	R	16382	
KTC40011	E		16	400	0	KTP40134	R	0	
KTC40011	E		16	416	0	KTP40135	R	0	
KTC40011	E		16	432	0	KTP40136	R	16382	
KTC40011	E		16	448	0	KTP40137	R	16382	
