KTKT4001	eSERVICE_TYPE_ID	U	8
KTKT4002	eS3_SUBTYPE	U	3
KTKT4003	eRESET_TYPE	U	6
KTKT4004	eTSYNC_STS	U	2
KTKT4005	eDPU_MODE	U	1
KTKT4007	eSOFTWARE_TRAPS	U	2
KSKT5001	CrFwAlgoId_t	U	2
KSKT5002	CrFwAlgoState_t	U	4
KSKT5027	CrFwAdcValId_t	U	16
KSKT5036	CrFwEvtId_t	U	112
KSKT5184	CrFwResErrReason_t	U	4
KSKT5185	CrFwValId_t	U	39
KSKT5055	CrFwFdCheckState_t	U	5
KSKT5056	CrFwFid_t	U	13
KSKT5057	CrFwRid_t	U	5
KSKT5182	CrFwFeeTempSel_t	U	7
KSKT5181	CrFwTtcTempSrc_t	U	3
KSKT5004	CrFwDpuMode_t	U	7
KSKT5088	CrFwSid_t	U	5
KSKT5094	CrFwReadMemoryId_t	U	4
KSKT5096	CrFwWriteMemoryId_t	U	3
KSKT5109	CrFwParamType_t	U	9
KSKT5118	CrFwParamSetId_t	U	3
KSKT5123	CrFwProcCalFullNode_t	U	1
KSKT5124	CrFwProcCloseDoorNode_t	U	1
KSKT5125	CrFwProcId_t	U	7
KSKT5126	CrFwProcNomSciNode_t	U	6
KSKT5186	CrFwRseDoorOperation_t	U	4
KSKT5165	CrFwFeeState_t	U	7
KSKT5166	CrFwIaswState_t	U	7
KSKT5167	CrFwRseState_t	U	5
KSKT5188	CrFwSduState_t	U	3
KSKT5172	CrFwAccFailCode_t	U	30
KSKT5176	CrFwStrtFailCode_t	U	18
KSKT5177	CrFwTermFailCode_t	U	5
