KTC40022	DBS_TC_REQUEST_HK	Request a Housekeeping Report		N	TC_PUS	3	128	321	2	A	Y	N	C		N				9	
KTC40001	DBS_TC_SET_HKREP_FREQ	Set Housekeeping Reporting Frequency		N	TC_PUS	3	131	321	2	A	Y	N	C		N				9	
KTC40002	DBS_TC_ENABLE_EVENT	Enables one or more event reports		N	TC_PUS	5	5	321	4	A	Y	N	C		N				9	
KTC40003	DBS_TC_DISABLE_EVENT	Disables one or more event reports		N	TC_PUS	5	6	321	4	A	Y	N	C		N				9	
KTC40004	DBS_TC_LOAD_MEMORY	Load data to the onboard memory		N	TC_PUS	6	2	321	5	A	Y	N	C		N				9	
KTC40005	DBS_TC_DUMP_MEMORY	Dump data from the onboard memory		N	TC_PUS	6	5	321	4	A	Y	N	C		N				9	
KTC40006	DBS_TC_CHECK_MEMORY	Check the onboard memory		N	TC_PUS	6	9	321	4	A	Y	N	C		N				9	
KTC40007	DBS_TC_CLEAR_MEMORY	Clear a section of the the RAM		N	TC_PUS	6	129	321	4	A	Y	N	C		N				9	
KTC40008	DBS_TC_UPDATE_TIME	Set the onboard time		N	TC_PUS	9	128	321	2	A	Y	N	C		N				9	
KTC40009	DBS_TC_TEST_CONNECTION	Test the connection to the DPU		N	TC_PUS	17	1	321	0	A	Y	N	C		N				9	
KTC40010	DBS_TC_DUMP_PARAMETERS	Dump parameters		N	TC_PUS	20	1	321	2	A	Y	N	C		N				9	
KTC40011	DBS_TC_PARLOAD_ADCRANGES	Load parameterset for ADC ranges		N	TC_PUS	20	3	321	66	A	Y	N	C		N				9	
KTC40012	DBS_TC_PARLOAD_RSEPARAM	Load parameterset for RSE		N	TC_PUS	20	3	321	12	A	Y	N	C		N				9	
KTC40013	DBS_TC_PARLOAD_ARM	Arm the software for loading of parameters to the MRAM		N	TC_PUS	20	128	321	0	A	Y	N	C		N				9	
KTC40014	DBS_TC_PARLOAD_DISARM	Disarm the software for loading of parameters		N	TC_PUS	20	129	321	0	A	Y	N	C		N				9	
KTC40015	DBS_TC_RESET_TO_SAFE	Reset the DPU (and go to SAFE mode)		N	TC_PUS	210	1	321	0	A	Y	N	C		N				9	
